[2025-07-13 20:31:21] Uyarı: AffinityProfile.json bulunamadı, varsayılan profil kullanılıyor.
[2025-07-13 20:31:21] Varsayılan profil yüklendi.
[2025-07-13 20:31:21] Cihaz yüklendi: Samsung SSD 860 EVO 250GB, Kategori=Depolama
[2025-07-13 20:31:21] Cihaz yüklendi: High Definition Audio Denetleyicisi, Kategori=Ses
[2025-07-13 20:31:21] Cihaz varsayılan kategoriye atandı: Anakart kaynakları, Kategori=Diğer
[2025-07-13 20:31:21] Cihaz yüklendi: Anakart kaynakları, Kategori=Diğer
[2025-07-13 20:31:21] Cihaz yüklendi: PCI Express Yukarı Akış Anahtar Bağlantı Noktası, Kategori=Ağ
[2025-07-13 20:31:21] Cihaz varsayılan kategoriye atandı: PCI standart ana bilgisayar CPU köprüsü, Kategori=Diğer
[2025-07-13 20:31:21] Cihaz yüklendi: PCI standart ana bilgisayar CPU köprüsü, Kategori=Diğer
[2025-07-13 20:31:21] Cihaz varsayılan kategoriye atandı: Birim, Kategori=Diğer
[2025-07-13 20:31:21] Cihaz yüklendi: Birim, Kategori=Diğer
[2025-07-13 20:31:21] Cihaz yüklendi: USB Giriş Aygıtı, Kategori=USB
[2025-07-13 20:31:21] Cihaz yüklendi: Realtek(R) Audio, Kategori=Ses
[2025-07-13 20:31:21] Cihaz yüklendi: Realtek Audio Effects Component, Kategori=Ses
[2025-07-13 20:31:21] Cihaz yüklendi: AMD GPIO Controller, Kategori=Görüntü
[2025-07-13 20:31:21] Cihaz varsayılan kategoriye atandı: Birim Yöneticisi, Kategori=Diğer
[2025-07-13 20:31:21] Cihaz yüklendi: Birim Yöneticisi, Kategori=Diğer
[2025-07-13 20:31:21] Cihaz varsayılan kategoriye atandı: Yüksek duyarlıklı olay süreölçeri, Kategori=Diğer
[2025-07-13 20:31:21] Cihaz yüklendi: Yüksek duyarlıklı olay süreölçeri, Kategori=Diğer
[2025-07-13 20:31:21] Cihaz varsayılan kategoriye atandı: İAC Klavye Aygıtı, Kategori=Diğer
[2025-07-13 20:31:21] Cihaz yüklendi: İAC Klavye Aygıtı, Kategori=Diğer
[2025-07-13 20:31:21] Cihaz yüklendi: PCI Express Aşağı Akış Anahtar Bağlantı Noktası, Kategori=Ağ
[2025-07-13 20:31:21] Cihaz varsayılan kategoriye atandı: İAC uyumlu sistem denetleyicisi, Kategori=Diğer
[2025-07-13 20:31:21] Cihaz yüklendi: İAC uyumlu sistem denetleyicisi, Kategori=Diğer
[2025-07-13 20:31:21] Cihaz yüklendi: USB Giriş Aygıtı, Kategori=USB
[2025-07-13 20:31:21] Cihaz varsayılan kategoriye atandı: WAN Miniport (PPPOE), Kategori=Diğer
[2025-07-13 20:31:21] Cihaz yüklendi: WAN Miniport (PPPOE), Kategori=Diğer
[2025-07-13 20:31:21] Cihaz varsayılan kategoriye atandı: PCI standart ana bilgisayar CPU köprüsü, Kategori=Diğer
[2025-07-13 20:31:21] Cihaz yüklendi: PCI standart ana bilgisayar CPU köprüsü, Kategori=Diğer
[2025-07-13 20:31:21] Cihaz yüklendi: AMD Ryzen 5 3600X 6-Core Processor             , Kategori=Görüntü
[2025-07-13 20:31:21] Cihaz yüklendi: AMD Ryzen 5 3600X 6-Core Processor             , Kategori=Görüntü
[2025-07-13 20:31:21] Cihaz yüklendi: AMD Ryzen 5 3600X 6-Core Processor             , Kategori=Görüntü
[2025-07-13 20:31:21] Cihaz yüklendi: AMD Ryzen 5 3600X 6-Core Processor             , Kategori=Görüntü
[2025-07-13 20:31:21] Cihaz yüklendi: AMD Ryzen 5 3600X 6-Core Processor             , Kategori=Görüntü
[2025-07-13 20:31:21] Cihaz yüklendi: AMD Ryzen 5 3600X 6-Core Processor             , Kategori=Görüntü
[2025-07-13 20:31:21] Cihaz yüklendi: AMD Ryzen 5 3600X 6-Core Processor             , Kategori=Görüntü
